"Year";"month";"SOI";"P";"Panomaly"
1932;"Aug";-6.9;23.12;-5.39
1932;"Sep";-8.8;28.23;2
1932;"Oct";-4.3;26.3;-9.99
1932;"Nov";-4.7;40.13;-7.18
1932;"Dec";3.2;58.92;-12.98
1933;"Jan";-11.1;77.06;-23.83
1933;"Feb";4.9;92.62;3.56
1933;"Mar";-2;31.25;-43.47
1933;"Apr";3.6;37.52;-8.07
1933;"May";6;24.92;-15.52
1933;"Jun";-3.9;36.63;6.46
1933;"Jul";3.5;60.71;28.53
1933;"Aug";-0.5;25.04;-3.47
1933;"Sep";2;46.11;19.88
1933;"Oct";3.6;41.83;5.54
1933;"Nov";7.2;95.46;48.15
1933;"Dec";8.2;91.22;19.32
1934;"Jan";6.5;88.56;-12.33
1934;"Feb";0.1;120.76;31.7
1934;"Mar";0.2;30.63;-44.09
1934;"Apr";6.1;54.36;8.77
1934;"May";-7.4;17.22;-23.22
1934;"Jun";10.7;32.7;2.53
1934;"Jul";2.9;43.69;11.51
1934;"Aug";-22.4;28.05;-0.46
1934;"Sep";-6.4;21.84;-4.39
1934;"Oct";4.2;60.76;24.47
1934;"Nov";13.1;65.71;18.4
